        size,          ops,         time,      op/time
        1024,    156250000,     0.082779,  1.88756e+09
        2048,    156249984,     0.081107,  1.92647e+09
        3072,    156249984,     0.082758,  1.88803e+09
        4096,    156249984,     0.081274,  1.92251e+09
        5120,    156250000,     0.099995,  1.56258e+09
        6144,    156249984,     0.096084,  1.62618e+09
        7168,    156249968,     0.093874,  1.66446e+09
        8192,    156249984,     0.091683,  1.70424e+09
        9216,    156249936,     0.089881,  1.73841e+09
       10240,    156249920,     0.090015,  1.73582e+09
       11264,    156249984,     0.089880,  1.73843e+09
       12288,    156249984,     0.087898,  1.77763e+09
       13312,    156249808,     0.088520,  1.76514e+09
       14336,    156249856,     0.086509,  1.80617e+09
       15360,    156249840,     0.085909,  1.81878e+09
       16384,    156249856,     0.088120,  1.77315e+09
       17408,    156249856,     0.085951,  1.81789e+09
       18432,    156249792,     0.086058,  1.81563e+09
       19456,    156249920,     0.085707,  1.82307e+09
       20480,    156249920,     0.085948,  1.81796e+09
       21504,    156249744,     0.085420,  1.82919e+09
       22528,    156249984,     0.084388,  1.85157e+09
       23552,    156249856,     0.084739,   1.8439e+09
       24576,    156249984,     0.085329,  1.83115e+09
       25600,    156250000,     0.085773,  1.82167e+09
       26624,    156249600,     0.084181,  1.85611e+09
       27648,    156249648,     0.083698,  1.86683e+09
       28672,    156249856,     0.084070,  1.85857e+09
       29696,    156249680,     0.086168,  1.81331e+09
       30720,    156249600,     0.083763,  1.86538e+09
       31744,    156249920,     0.082412,  1.89596e+09
       32768,    156249600,     0.080785,  1.93414e+09
       33792,    156249984,     0.083481,  1.87168e+09
       34816,    156249856,     0.109187,  1.43103e+09
       35840,    156249520,     0.147804,  1.05714e+09
       36864,    156249792,     0.186812,  8.36401e+08
       37888,    156249520,     0.185313,  8.43165e+08
       38912,    156249920,     0.185860,  8.40686e+08
       39936,    156249600,     0.188487,  8.28968e+08
       40960,    156249600,     0.188859,  8.27335e+08
       41984,    156249360,     0.188745,  8.27833e+08
       43008,    156249408,     0.188542,  8.28725e+08
       44032,    156249616,     0.190627,  8.19662e+08
       45056,    156249984,     0.189771,  8.23361e+08
       46080,    156249360,     0.188238,  8.30063e+08
       47104,    156249856,     0.187267,  8.34369e+08
       48128,    156249808,     0.193823,  8.06147e+08
       49152,    156249600,     0.189827,  8.23116e+08
       50176,    156249632,     0.187254,  8.34426e+08
       51200,    156249600,     0.187664,  8.32603e+08
       52224,    156249312,     0.193821,  8.06153e+08
       53248,    156249600,     0.188865,  8.27308e+08
       54272,    156249936,     0.189701,  8.23664e+08
       55296,    156249216,     0.193535,  8.07343e+08
       56320,    156249280,     0.190254,  8.21267e+08
       57344,    156249856,     0.188873,  8.27275e+08
       58368,    156249312,     0.189125,   8.2617e+08
       59392,    156249216,     0.190007,  8.22334e+08
       60416,    156249936,     0.189521,  8.24447e+08
       61440,    156249600,     0.189289,  8.25455e+08
       62464,    156249792,     0.187891,  8.31598e+08
       63488,    156249920,     0.192412,  8.12059e+08
       64512,    156249072,     0.192406,   8.1208e+08
       65536,    156249088,     0.194557,  8.03102e+08
       66560,    156249600,     0.194846,  8.01913e+08
       67584,    156249984,     0.193569,  8.07206e+08
       68608,    156249360,     0.189906,  8.22772e+08
       69632,    156249856,     0.196912,  7.93501e+08
       70656,    156249120,     0.192194,  8.12976e+08
       71680,    156248960,     0.198363,  7.87692e+08
       72704,    156249984,     0.194607,    8.029e+08
       73728,    156249216,     0.196100,  7.96783e+08
       74752,    156249200,     0.195225,  8.00354e+08
       75776,    156248928,     0.197173,  7.92446e+08
       76800,    156249600,     0.193810,    8.062e+08
       77824,    156249920,     0.195368,  7.99772e+08
       78848,    156249632,     0.197393,  7.91566e+08
       79872,    156249600,     0.196631,  7.94634e+08
       80896,    156249360,     0.198038,  7.88987e+08
